id,mrp,sku_code,unit_price,sku_description,invoiced_quantity,batch_details,outer_lpn_number,lpn_number,carton_no,lpn_code,packed_quantity,order_type,order_reference,product_id,uom,invoice_number,invoice_date,warehouse,invoiced_by,order_date,customer_info,distributer_id,created_at,updated_at,is_callback,status_wholeseller_id,status_retailer_id,sources,wholesaler_scanned_at,retailer_scanned_at,is_active,is_offline
860,0,ACM204SBLMR #55,80.00,ACM204SBLMR #55,1,[],,VDKPEDW,,,0,Distributor,55,271975,B10,INV000000000058,2024-12-27,JGH_1100,subuser2@stockone.com,2024-12-27,"""{\""city\"":null,\""name\"":\""RUJUTA VENUGOPAL LAHOTI\"",\""state\"":null,\""country\"":\""India\"",\""pincode\"":null,\""email_id\"":\""rujuta121@gmail.com\"",\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":\""29AAKCM8916G1ZZ\"",\""customer_id\"":4314,\""phone_number\"":7875568844}""",5981,2025-01-28 16:40:43,2026-07-05 10:06:22,0,,50284,tirupur,,2026-07-05 10:06:22,1,0
2811,0,ASP162BAST#M,80.00,ASP162BAST#M,1,[],,XHDPOXA,,,0,Distributor,M,286862,B5,INV000000000058,2024-12-27,JGH_1100,subuser2@stockone.com,2024-12-27,"""{\""city\"":null,\""name\"":\""GIRISH DAGADU YEOLE\"",\""state\"":null,\""country\"":\""India\"",\""pincode\"":null,\""email_id\"":\""yeolegirish4@gmail.com\"",\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":\""29AAKCM8916G1ZZ\"",\""customer_id\"":4350,\""phone_number\"":9028114949}""",6017,2025-01-29 10:07:35,2026-07-04 13:21:47,0,,50751,tirupur,,2026-07-04 13:21:47,1,0
11581,0,ACM204BBLMR#90,80.00,ACM204BBLMR#90,1,[],,WRVGAUZ,,,0,Distributor,90,271967,B10,INV000000000058,2024-12-27,JGH_1100,subuser2@stockone.com,2024-12-27,"""{\""city\"":\""SATARA\"",\""name\"":\""DEVYANI AND COMPANY\"",\""state\"":14,\""country\"":\""India\"",\""pincode\"":415002,\""email_id\"":\""tejasbhosale7117@gmail.com\"",\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":\""29AAKCM8916G1ZZ\"",\""customer_id\"":6016,\""phone_number\"":9096500543}""",6016,2025-01-31 12:20:03,2026-07-02 09:39:17,0,,49758,tirupur,,2026-07-02 09:39:17,1,0
17117,0,ASP032BBLK#XXL,80.00,ASP032BBLK#XXL,1,[],,OYZIKWL,,,0,Distributor,XXL,286219,B5,INV000000000058,2024-12-27,JGH_1100,subuser2@stockone.com,2024-12-27,"""{\""city\"":null,\""name\"":\""POTTEKAT BAIJU\"",\""state\"":12,\""country\"":\""India\"",\""pincode\"":null,\""email_id\"":\""newfashionsouk.clt@gmail.com\"",\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":\""29AAKCM8916G1ZZ\"",\""customer_id\"":6270,\""phone_number\"":9847135299}""",5903,2025-01-31 19:20:13,2026-07-03 16:41:55,0,,52699,tirupur,,2026-07-03 16:41:55,1,0
18009,0,ASP032BAST#S,80.00,ASP032BAST#S,1,[],,QNIGLOG,,,0,Distributor,S,286206,B5,INV000000000058,2024-12-27,JGH_1100,subuser2@stockone.com,2024-12-27,"""{\""city\"":null,\""name\"":\""POTTEKAT BAIJU\"",\""state\"":12,\""country\"":\""India\"",\""pincode\"":null,\""email_id\"":\""newfashionsouk.clt@gmail.com\"",\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":\""29AAKCM8916G1ZZ\"",\""customer_id\"":6270,\""phone_number\"":9847135299}""",5903,2025-02-01 11:12:25,2026-07-01 11:56:28,0,,77802,tirupur,,2026-07-01 11:56:28,1,0
18010,0,ASP032BAST#S,80.00,ASP032BAST#S,1,[],,QGOKCFE,,,0,Distributor,S,286206,B5,INV000000000058,2024-12-27,JGH_1100,subuser2@stockone.com,2024-12-27,"""{\""city\"":null,\""name\"":\""POTTEKAT BAIJU\"",\""state\"":12,\""country\"":\""India\"",\""pincode\"":null,\""email_id\"":\""newfashionsouk.clt@gmail.com\"",\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":\""29AAKCM8916G1ZZ\"",\""customer_id\"":6270,\""phone_number\"":9847135299}""",5903,2025-02-01 11:12:28,2026-07-01 12:59:56,0,,77802,tirupur,,2026-07-01 12:59:56,1,0
20751,0,ACM023BTRNK2AST#85,125.62,AMUL COMFY COLOUR B TRUNKS OE 2/10,1,[],,BCJCFAI,,,0,Distributors,6141066123,270965,B10,INV-000000083365,2025-02-01,JGH_1100,swaraj,2025-01-31,"""{\""city\"":\""HISSAR\"",\""name\"":\""JAI SHREE BALA JEE TRADER\"",\""state\"":null,\""country\"":null,\""pincode\"":\""0\"",\""email_id\"":null,\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":null,\""customer_id\"":372,\""phone_number\"":null}""",6092,2025-02-01 15:23:35,2026-07-01 18:05:13,1,,64945,tirupur,,2026-07-01 18:05:13,1,0
20972,0,ACM023BTRNK2AST#80,129.62,AMUL COMFY COLOUR B TRUNKS OE 2/10,1,[],,LBYYVGL,,,0,Distributors,6141066120,270964,B10,INV-000000083376,2025-02-01,JGH_1100,sunilkumarchandra,2025-01-31,"""{\""city\"":\""HISSAR\"",\""name\"":\""JAI SHREE BALA JEE TRADER\"",\""state\"":null,\""country\"":null,\""pincode\"":\""0\"",\""email_id\"":null,\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":null,\""customer_id\"":372,\""phone_number\"":null}""",6092,2025-02-01 15:33:54,2026-07-01 18:04:52,1,,64945,tirupur,,2026-07-01 18:04:52,1,0
34234,0,APR001BPNTS0AST#90,0.68,AMUL PRIYA PLAIN B PANTY,1,[],,NHKUTFI,,,0,Distributors,6141067404,284540,B10,INV-000000084995,2025-02-03,JGH_1100,madesh,2025-02-01,"""{\""city\"":\""CHARKHIDADRI\"",\""name\"":\""DEEPAK HOSIERY\"",\""state\"":null,\""country\"":null,\""pincode\"":\""0\"",\""email_id\"":null,\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":null,\""customer_id\"":422,\""phone_number\"":null}""",6086,2025-02-03 17:00:28,2026-07-02 11:27:38,1,,77830,tirupur,,2026-07-02 11:27:38,1,0
34808,0,APR001BPNTS0AST#100,0.00,AMUL PRIYA PLAIN B PANTY,1,[],,WTMEAQX,,,0,Distributors,6141067476,284532,B10,INV-000000085010,2025-02-03,JGH_1100,madesh,2025-02-01,"""{\""city\"":\""PONTA SAHIB\"",\""name\"":\""CHOUDHARY TRADERS\"",\""state\"":null,\""country\"":null,\""pincode\"":\""0\"",\""email_id\"":null,\""last_name\"":null,\""pan_number\"":null,\""tin_number\"":null,\""customer_id\"":359,\""phone_number\"":null}""",6121,2025-02-03 17:07:57,2026-07-01 20:31:47,1,,48742,tirupur,,2026-07-01 20:31:47,1,0
